#,Zn_mole (mmol),Additive_mole (%),LogMolarRatio,Additive_SMILES,IUPAC_NAME,CE_1 (%),CE_2 (%),CE_3 (%),CE_aver. (%)
527,0.10001,0.00204,1.68942,C1CC(=O)NC1=O,"pyrrolidine-2,5-dione",96.94991,96.80843,97.27694,97.01176
528,0.10001,0.00205,1.68796,C(C(C(=O)[O-])O)(C(=O)[O-])O.[Na+].[K+],"potassium sodium 2,3-dihydroxysuccinate",93.37148,93.0963,93.59457,93.35412
529,0.1,0.00415,1.38207,[C@@H]([C@H](C(=O)[O-])O)(C(=O)[O-])O.[Na+].[Na+],"sodium (2R,3R)-2,3-dihydroxysuccinate",96.59083,96.52227,96.39968,96.50426
530,0.1,0.004,1.39782,C(C(C(=O)[O-])O)C(=O)[O-].[Na+].[Na+],sodium 2-hydroxysuccinate,63.99461,63.22124,61.75635,62.99073
531,0.1,0.004,1.39836,C([C@H]([C@H](CO)O)O)O,"(2R,3S)-butane-1,2,3,4-tetraol",98.2491,98.2138,98.56522,98.34271
532,0.1,0.00402,1.39627,CS(=O)(=O)C,(methylsulfonyl)methane,96.6464,96.72115,96.94641,96.77132
533,0.1,0.00406,1.39098,C(CC(=O)[O-])C(=O)[O-].[Na+].[Na+],sodium succinate,79.30879,78.18045,79.05741,78.84888
534,0.1,0.00414,1.3832,CCCO,propan-1-ol,98.3299,97.87839,97.90498,98.03776
535,0.1,0.00409,1.38833,C1CC(=O)NC1=O,"pyrrolidine-2,5-dione",97.02386,96.78941,96.80992,96.8744
536,0.1,0.0041,1.38687,C(C(C(=O)[O-])O)(C(=O)[O-])O.[Na+].[K+],"potassium sodium 2,3-dihydroxysuccinate",95.6448,95.66928,95.45624,95.59011
537,0.10006,0.00519,1.28543,[C@@H]([C@H](C(=O)[O-])O)(C(=O)[O-])O.[Na+].[Na+],"sodium (2R,3R)-2,3-dihydroxysuccinate",96.6982,96.4877,96.49018,96.55869
538,0.10006,0.005,1.30117,C(C(C(=O)[O-])O)C(=O)[O-].[Na+].[Na+],sodium 2-hydroxysuccinate,74.19715,73.66955,69.94163,72.60278
539,0.10006,0.005,1.30171,C([C@H]([C@H](CO)O)O)O,"(2R,3S)-butane-1,2,3,4-tetraol",98.35005,98.78712,98.05119,98.39612
540,0.10006,0.00502,1.29963,CS(=O)(=O)C,(methylsulfonyl)methane,97.25987,96.68079,97.75718,97.23261
541,0.10006,0.00508,1.29433,C(CC(=O)[O-])C(=O)[O-].[Na+].[Na+],sodium succinate,79.47304,77.93853,77.04222,78.15126
542,0.10006,0.00511,1.29169,C1CC(=O)NC1=O,"pyrrolidine-2,5-dione",97.02597,97.40082,97.87663,97.43448
543,0.10006,0.00513,1.29022,C(C(C(=O)[O-])O)(C(=O)[O-])O.[Na+].[K+],"potassium sodium 2,3-dihydroxysuccinate",96.15441,95.88508,96.228,96.08916
544,0.09999,0.00102,1.99271,C1CCNC(=O)C1,piperidin-2-one,96.68419,94.66838,96.80838,96.05365
545,0.09999,0.00102,1.99062,C(CC(=O)N)[C@@H](C(=O)O)N,L-glutamine,95.91692,94.32325,93.62116,94.62045
546,0.09999,0.001,1.99806,C([C@@H]([C@H]([C@@H](C(=O)CO)O)O)O)O,"(3S,4R,5S)-1,3,4,5,6-pentahydroxyhexan-2-one",95.05632,96.10403,95.8006,95.65365
547,0.09999,0.00101,1.99542,C1CC(=O)NC(=O)C1,"piperidine-2,6-dione",95.78717,95.97466,95.71121,95.82435
548,0.09999,0.00101,1.99395,C[C@@H]([C@@H]([C@H]([C@H](C=O)O)O)O)O,"(2R,3R,4S,5S)-2,3,4,5-tetrahydroxyhexanal",95.29659,94.43646,94.55114,94.7614
549,0.09999,0.00101,1.99767,C1CNC(=O)N1,imidazolidin-2-one,95.51016,95.11599,94.71796,95.1147
550,0.09999,0.00104,1.98353,CN1CCOC1=O,3-methyloxazolidin-2-one,95.47369,95.14294,94.60494,95.07386
551,0.09999,0.00102,1.99165,COC(=O)N,methyl carbamate,95.7292,95.82814,95.31884,95.62539
552,0.10003,0.00203,1.69184,C1CCNC(=O)C1,piperidin-2-one,94.98982,95.06136,94.81174,94.95431
553,0.10003,0.00204,1.68975,C(CC(=O)N)[C@@H](C(=O)O)N,L-glutamine,97.33905,97.0794,97.22445,97.2143
554,0.10003,0.00201,1.69719,C([C@@H]([C@H]([C@@H](C(=O)CO)O)O)O)O,"(3S,4R,5S)-1,3,4,5,6-pentahydroxyhexan-2-one",95.63372,96.10128,94.37935,95.37145
555,0.10003,0.00202,1.69455,C1CC(=O)NC(=O)C1,"piperidine-2,6-dione",96.59093,95.92367,95.55099,96.02187
556,0.10003,0.00203,1.69307,C[C@@H]([C@@H]([C@H]([C@H](C=O)O)O)O)O,"(2R,3R,4S,5S)-2,3,4,5-tetrahydroxyhexanal",94.90509,95.49796,92.74346,94.38217
557,0.10003,0.00201,1.6968,C1CNC(=O)N1,imidazolidin-2-one,95.13744,94.98892,93.81901,94.64846
558,0.10003,0.00208,1.68265,CN1CCOC1=O,3-methyloxazolidin-2-one,95.9287,95.12966,93.97831,95.01223
559,0.10003,0.00204,1.69077,COC(=O)N,methyl carbamate,95.3689,95.21411,94.21366,94.93223
560,0.10004,0.00407,1.39087,C1CCNC(=O)C1,piperidin-2-one,94.55834,94.80952,93.7993,94.38905
561,0.10004,0.00409,1.38878,C(CC(=O)N)[C@@H](C(=O)O)N,L-glutamine,97.96592,97.90348,98.08905,97.98615
562,0.10004,0.00402,1.39623,C([C@@H]([C@H]([C@@H](C(=O)CO)O)O)O)O,"(3S,4R,5S)-1,3,4,5,6-pentahydroxyhexan-2-one",95.16379,95.59445,94.48404,95.08076
563,0.10004,0.00404,1.39358,C1CC(=O)NC(=O)C1,"piperidine-2,6-dione",96.45892,96.04941,96.35743,96.28858
564,0.10004,0.00406,1.39211,C[C@@H]([C@@H]([C@H]([C@H](C=O)O)O)O)O,"(2R,3R,4S,5S)-2,3,4,5-tetrahydroxyhexanal",93.94926,95.11234,95.2866,94.78273
565,0.10004,0.00402,1.39583,C1CNC(=O)N1,imidazolidin-2-one,96.34559,94.8548,95.00664,95.40234
566,0.10004,0.00415,1.38169,CN1CCOC1=O,3-methyloxazolidin-2-one,95.9401,95.68983,95.4744,95.70144
567,0.10004,0.00408,1.38981,COC(=O)N,methyl carbamate,95.90785,95.85801,95.3262,95.69735
568,0.10004,0.00508,1.29397,C1CCNC(=O)C1,piperidin-2-one,95.4215,95.22267,94.02367,94.88928
569,0.10004,0.00511,1.29188,C(CC(=O)N)[C@@H](C(=O)O)N,L-glutamine,98.08994,98.04857,98.03791,98.05881
570,0.10004,0.00502,1.29932,C([C@@H]([C@H]([C@@H](C(=O)CO)O)O)O)O,"(3S,4R,5S)-1,3,4,5,6-pentahydroxyhexan-2-one",95.87263,95.9286,96.00561,95.93561
571,0.10004,0.00505,1.29668,C1CC(=O)NC(=O)C1,"piperidine-2,6-dione",96.47444,96.26688,96.34066,96.36066
572,0.10004,0.00507,1.29521,C[C@@H]([C@@H]([C@H]([C@H](C=O)O)O)O)O,"(2R,3R,4S,5S)-2,3,4,5-tetrahydroxyhexanal",94.30563,94.98965,94.48165,94.59231
573,0.10004,0.00503,1.29893,C1CNC(=O)N1,imidazolidin-2-one,95.09025,95.22781,95.48629,95.26812
574,0.10004,0.00519,1.28479,CN1CCOC1=O,3-methyloxazolidin-2-one,95.36351,95.82599,96.55393,95.91447
575,0.10004,0.0051,1.29291,COC(=O)N,methyl carbamate,95.05055,95.77083,95.77743,95.53294
